platform,modality,model,configuration,mean_energy_j,std_energy_j,n_runs
Apple M4 Pro,image,SD-v1-5,128x128_steps=10,4.4707,0.9507,15
Apple M4 Pro,image,SD-v1-5,128x128_steps=15,6.19,0.9515,15
Apple M4 Pro,image,SD-v1-5,128x128_steps=20,5.4549,3.1864,39
Apple M4 Pro,image,SD-v1-5,128x128_steps=30,14.5213,1.7006,15
Apple M4 Pro,image,SD-v1-5,128x128_steps=5,7.1543,11.2391,7
Apple M4 Pro,image,SD-v1-5,128x128_steps=50,24.934,3.121,15
Apple M4 Pro,image,SD-v1-5,256x256_steps=10,12.186,1.6223,15
Apple M4 Pro,image,SD-v1-5,256x256_steps=15,17.8227,3.1459,15
Apple M4 Pro,image,SD-v1-5,256x256_steps=20,22.5407,2.7408,15
Apple M4 Pro,image,SD-v1-5,256x256_steps=30,34.356,2.273,15
Apple M4 Pro,image,SD-v1-5,256x256_steps=5,6.2653,1.9043,15
Apple M4 Pro,image,SD-v1-5,256x256_steps=50,55.3053,5.9675,15
Apple M4 Pro,image,SD-v1-5,384x384_steps=10,30.1313,3.3944,15
Apple M4 Pro,image,SD-v1-5,384x384_steps=15,41.53,4.6496,15
Apple M4 Pro,image,SD-v1-5,384x384_steps=20,53.722,5.1688,15
Apple M4 Pro,image,SD-v1-5,384x384_steps=30,76.828,3.0777,15
Apple M4 Pro,image,SD-v1-5,384x384_steps=5,16.2873,1.9012,15
Apple M4 Pro,image,SD-v1-5,384x384_steps=50,127.906,5.2891,15
Apple M4 Pro,image,SD-v1-5,512x512_steps=10,54.8367,6.0239,15
Apple M4 Pro,image,SD-v1-5,512x512_steps=15,79.9627,6.278,15
Apple M4 Pro,image,SD-v1-5,512x512_steps=20,105.278,7.658,15
Apple M4 Pro,image,SD-v1-5,512x512_steps=30,152.6393,8.8336,15
Apple M4 Pro,image,SD-v1-5,512x512_steps=5,33.4427,4.3706,15
Apple M4 Pro,image,SD-v1-5,512x512_steps=50,250.714,7.7006,15
Apple M4 Pro,image,SD-v1-5,640x640_steps=20,364.0247,4.7014,30
Apple M4 Pro,image,SDXL-base-1.0,1024x1024_steps=20,1531.453,12.2184,30
Apple M4 Pro,image,SDXL-base-1.0,512x512_steps=20,315.8057,2.6383,30
Apple M4 Pro,image,SDXL-base-1.0,768x768_steps=20,768.5613,3.8814,30
Apple M4 Pro,video,AnimateDiff-v1.5,256x256_frames=16_steps=20,1026.5697,2.8831,30
Apple M4 Pro,video,AnimateDiff-v1.5,256x256_frames=6_steps=20,364.423,2.9387,30
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,41.2333,1.3256,30
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,62.4707,2.2613,30
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,120.2453,4.3797,30
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,178.635,4.9566,30
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,272.017,3.4092,30
Mac M2 Ultra,image,SD-v1-5,512x512_steps=30,399.694,3.7935,30
Mac M2 Ultra,music,MusicGen-medium,tokens=128_audio=2.5s,66.5183,1.6775,30
Mac M2 Ultra,music,MusicGen-medium,tokens=256_audio=5.1s,143.8067,2.0148,30
Mac M2 Ultra,music,MusicGen-small,tokens=128_audio=2.5s,19.4817,0.9458,30
Mac M2 Ultra,music,MusicGen-small,tokens=256_audio=5.1s,45.482,3.1475,30
Mac M2 Ultra,music,MusicGen-small,tokens=512_audio=10.2s,104.027,10.8681,30
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,53.1583,6.2642,30
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,127.484,24.8944,30
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,288.2297,54.8875,30
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,24.507,1.5809,30
Mac M2 Ultra,video,AnimateDiff-v1.5,256x256_frames=12_steps=20,834.846,2.7572,30
Mac M2 Ultra,video,AnimateDiff-v1.5,256x256_frames=4_steps=20,257.992,5.2675,30
