platform_pair,modality,configuration,gpu_energy_j,mac_energy_j,ratio
NVIDIA H100 vs Apple M4 Pro,image,SD-v1-5_128x128_steps=10,42.0503,4.4707,9.4058
NVIDIA H100 vs Apple M4 Pro,image,SD-v1-5_128x128_steps=15,62.0403,6.19,10.0227
NVIDIA A100 vs Apple M4 Pro,image,SD-v1-5_128x128_steps=20,66.189,5.4549,12.1339
NVIDIA H100 vs Apple M4 Pro,image,SD-v1-5_128x128_steps=20,79.284,5.4549,14.5345
NVIDIA H100 vs Apple M4 Pro,image,SD-v1-5_128x128_steps=30,118.9543,14.5213,8.1917
NVIDIA H100 vs Apple M4 Pro,image,SD-v1-5_128x128_steps=5,23.5827,7.1543,3.2963
NVIDIA H100 vs Apple M4 Pro,image,SD-v1-5_128x128_steps=50,196.2117,24.934,7.8692
NVIDIA H100 vs Apple M4 Pro,image,SD-v1-5_256x256_steps=10,48.8837,12.186,4.0115
NVIDIA H100 vs Apple M4 Pro,image,SD-v1-5_256x256_steps=15,69.4843,17.8227,3.8986
NVIDIA A100 vs Mac M2 Ultra,image,SD-v1-5_256x256_steps=20,141.031,41.2333,3.4203
NVIDIA H100 vs Mac M2 Ultra,image,SD-v1-5_256x256_steps=20,92.0297,41.2333,2.2319
NVIDIA A100 vs Apple M4 Pro,image,SD-v1-5_256x256_steps=20,141.031,22.5407,6.2567
NVIDIA H100 vs Apple M4 Pro,image,SD-v1-5_256x256_steps=20,92.0297,22.5407,4.0828
NVIDIA A100 vs Mac M2 Ultra,image,SD-v1-5_256x256_steps=30,182.248,62.4707,2.9173
NVIDIA H100 vs Mac M2 Ultra,image,SD-v1-5_256x256_steps=30,134.9543,62.4707,2.1603
NVIDIA A100 vs Apple M4 Pro,image,SD-v1-5_256x256_steps=30,182.248,34.356,5.3047
NVIDIA H100 vs Apple M4 Pro,image,SD-v1-5_256x256_steps=30,134.9543,34.356,3.9281
NVIDIA H100 vs Apple M4 Pro,image,SD-v1-5_256x256_steps=5,27.7007,6.2653,4.4213
NVIDIA H100 vs Apple M4 Pro,image,SD-v1-5_256x256_steps=50,222.517,55.3053,4.0234
NVIDIA H100 vs Apple M4 Pro,image,SD-v1-5_384x384_steps=10,59.7767,30.1313,1.9839
NVIDIA H100 vs Apple M4 Pro,image,SD-v1-5_384x384_steps=15,85.9083,41.53,2.0686
NVIDIA A100 vs Mac M2 Ultra,image,SD-v1-5_384x384_steps=20,196.0417,120.2453,1.6303
NVIDIA H100 vs Mac M2 Ultra,image,SD-v1-5_384x384_steps=20,113.3993,120.2453,0.9431
NVIDIA A100 vs Apple M4 Pro,image,SD-v1-5_384x384_steps=20,196.0417,53.722,3.6492
NVIDIA H100 vs Apple M4 Pro,image,SD-v1-5_384x384_steps=20,113.3993,53.722,2.1109
NVIDIA A100 vs Mac M2 Ultra,image,SD-v1-5_384x384_steps=30,266.9837,178.635,1.4946
NVIDIA H100 vs Mac M2 Ultra,image,SD-v1-5_384x384_steps=30,169.775,178.635,0.9504
NVIDIA A100 vs Apple M4 Pro,image,SD-v1-5_384x384_steps=30,266.9837,76.828,3.4751
NVIDIA H100 vs Apple M4 Pro,image,SD-v1-5_384x384_steps=30,169.775,76.828,2.2098
NVIDIA H100 vs Apple M4 Pro,image,SD-v1-5_384x384_steps=5,33.8517,16.2873,2.0784
NVIDIA H100 vs Apple M4 Pro,image,SD-v1-5_384x384_steps=50,281.3997,127.906,2.2001
NVIDIA H100 vs Apple M4 Pro,image,SD-v1-5_512x512_steps=10,83.0567,54.8367,1.5146
NVIDIA H100 vs Apple M4 Pro,image,SD-v1-5_512x512_steps=15,117.82,79.9627,1.4734
NVIDIA A100 vs Mac M2 Ultra,image,SD-v1-5_512x512_steps=20,238.257,272.017,0.8759
NVIDIA H100 vs Mac M2 Ultra,image,SD-v1-5_512x512_steps=20,153.152,272.017,0.563
NVIDIA A100 vs Apple M4 Pro,image,SD-v1-5_512x512_steps=20,238.257,105.278,2.2631
NVIDIA H100 vs Apple M4 Pro,image,SD-v1-5_512x512_steps=20,153.152,105.278,1.4547
NVIDIA A100 vs Mac M2 Ultra,image,SD-v1-5_512x512_steps=30,333.066,399.694,0.8333
NVIDIA H100 vs Mac M2 Ultra,image,SD-v1-5_512x512_steps=30,227.257,399.694,0.5686
NVIDIA A100 vs Apple M4 Pro,image,SD-v1-5_512x512_steps=30,333.066,152.6393,2.182
NVIDIA H100 vs Apple M4 Pro,image,SD-v1-5_512x512_steps=30,227.257,152.6393,1.4888
