platform,modality,configuration,avg_power_w,peak_power_w
Apple M4 Pro,image (SD-v1-5),128x128_steps=10,18.1473,19.4247
Apple M4 Pro,image (SD-v1-5),128x128_steps=15,17.9427,19.372
Apple M4 Pro,image (SD-v1-5),128x128_steps=20,18.5859,19.4459
Apple M4 Pro,image (SD-v1-5),128x128_steps=30,18.5027,20.0727
Apple M4 Pro,image (SD-v1-5),128x128_steps=5,13.0971,17.1057
Apple M4 Pro,image (SD-v1-5),128x128_steps=50,19.0873,20.6453
Apple M4 Pro,image (SD-v1-5),256x256_steps=10,21.0107,23.2033
Apple M4 Pro,image (SD-v1-5),256x256_steps=15,21.224,23.022
Apple M4 Pro,image (SD-v1-5),256x256_steps=20,20.9847,22.6913
Apple M4 Pro,image (SD-v1-5),256x256_steps=30,21.12,23.2993
Apple M4 Pro,image (SD-v1-5),256x256_steps=5,20.4953,21.5393
Apple M4 Pro,image (SD-v1-5),256x256_steps=50,21.05,23.486
Apple M4 Pro,image (SD-v1-5),384x384_steps=10,23.172,27.0087
Apple M4 Pro,image (SD-v1-5),384x384_steps=15,22.562,27.1867
Apple M4 Pro,image (SD-v1-5),384x384_steps=20,22.3733,26.108
Apple M4 Pro,image (SD-v1-5),384x384_steps=30,22.2873,26.338
Apple M4 Pro,image (SD-v1-5),384x384_steps=5,23.042,26.3833
Apple M4 Pro,image (SD-v1-5),384x384_steps=50,22.284,26.3933
Apple M4 Pro,image (SD-v1-5),512x512_steps=10,25.106,27.9673
Apple M4 Pro,image (SD-v1-5),512x512_steps=15,25.0373,27.882
Apple M4 Pro,image (SD-v1-5),512x512_steps=20,25.0427,28.346
Apple M4 Pro,image (SD-v1-5),512x512_steps=30,24.9493,28.092
Apple M4 Pro,image (SD-v1-5),512x512_steps=5,24.984,27.7327
Apple M4 Pro,image (SD-v1-5),512x512_steps=50,25.108,28.2447
Apple M4 Pro,image (SD-v1-5),640x640_steps=20,25.59,29.123
Apple M4 Pro,image (SDXL-base-1.0),1024x1024_steps=20,21.47,31.908
Apple M4 Pro,image (SDXL-base-1.0),512x512_steps=20,24.6807,28.1083
Apple M4 Pro,image (SDXL-base-1.0),768x768_steps=20,25.4853,29.99
Apple M4 Pro,video (AnimateDiff-v1.5),256x256_frames=16_steps=20,26.164,29.8493
Apple M4 Pro,video (AnimateDiff-v1.5),256x256_frames=6_steps=20,24.8767,28.7287
Mac M2 Ultra,image (SD-v1-5),256x256_steps=20,14.7127,18.763
Mac M2 Ultra,image (SD-v1-5),256x256_steps=30,15.562,18.749
Mac M2 Ultra,image (SD-v1-5),384x384_steps=20,17.2717,20.2297
Mac M2 Ultra,image (SD-v1-5),384x384_steps=30,18.044,20.5593
Mac M2 Ultra,image (SD-v1-5),512x512_steps=20,20.6297,23.8943
Mac M2 Ultra,image (SD-v1-5),512x512_steps=30,20.993,24.0993
Mac M2 Ultra,music (MusicGen-medium),tokens=128_audio=2.5s,10.8857,12.6897
Mac M2 Ultra,music (MusicGen-medium),tokens=256_audio=5.1s,12.0313,13.5163
Mac M2 Ultra,music (MusicGen-small),tokens=128_audio=2.5s,6.3693,8.2563
Mac M2 Ultra,music (MusicGen-small),tokens=256_audio=5.1s,7.0673,8.5443
Mac M2 Ultra,music (MusicGen-small),tokens=512_audio=10.2s,10.0357,12.2793
Mac M2 Ultra,text (Phi-3-mini-4k),max_tokens=128,11.032,12.5563
Mac M2 Ultra,text (Phi-3-mini-4k),max_tokens=256,2.1417,10.9933
