modality,configuration,platform,cv_percent,n_runs
image,1024x1024_steps=10,NVIDIA H100,1.5499,30
image,1024x1024_steps=15,NVIDIA H100,3.5222,30
image,1024x1024_steps=20,Apple M4 Pro,0.7978,30
image,1024x1024_steps=20,NVIDIA A100,1.6671,30
image,1024x1024_steps=20,NVIDIA H100,2.5835,30
image,1024x1024_steps=30,NVIDIA H100,1.1548,30
image,1024x1024_steps=5,NVIDIA H100,2.543,30
image,128x128_steps=10,Apple M4 Pro,21.2645,15
image,128x128_steps=10,NVIDIA H100,5.9647,30
image,128x128_steps=15,Apple M4 Pro,15.3708,15
image,128x128_steps=15,NVIDIA H100,1.7216,30
image,128x128_steps=20,Apple M4 Pro,58.4131,39
image,128x128_steps=20,NVIDIA A100,1.4033,30
image,128x128_steps=20,NVIDIA H100,5.7873,30
image,128x128_steps=30,Apple M4 Pro,11.7108,15
image,128x128_steps=30,NVIDIA H100,3.5314,30
image,128x128_steps=5,Apple M4 Pro,157.0958,7
image,128x128_steps=5,NVIDIA H100,10.4642,30
image,128x128_steps=50,Apple M4 Pro,12.517,15
image,128x128_steps=50,NVIDIA H100,2.592,30
image,256x256_steps=10,Apple M4 Pro,13.3126,15
image,256x256_steps=10,NVIDIA H100,1.7428,30
image,256x256_steps=15,Apple M4 Pro,17.6509,15
image,256x256_steps=15,NVIDIA H100,3.3498,30
image,256x256_steps=20,Apple M4 Pro,12.1592,15
image,256x256_steps=20,Mac M2 Ultra,3.2149,30
image,256x256_steps=20,NVIDIA A100,1.7254,30
image,256x256_steps=20,NVIDIA H100,2.6007,30
image,256x256_steps=30,Apple M4 Pro,6.6159,15
image,256x256_steps=30,Mac M2 Ultra,3.6198,30
image,256x256_steps=30,NVIDIA A100,1.9084,30
image,256x256_steps=30,NVIDIA H100,3.116,30
image,256x256_steps=5,Apple M4 Pro,30.3945,15
image,256x256_steps=5,NVIDIA H100,1.766,30
image,256x256_steps=50,Apple M4 Pro,10.7902,15
image,256x256_steps=50,NVIDIA H100,2.9828,30
image,384x384_steps=10,Apple M4 Pro,11.2654,15
image,384x384_steps=10,NVIDIA H100,4.191,30
image,384x384_steps=15,Apple M4 Pro,11.1958,15
image,384x384_steps=15,NVIDIA H100,1.6384,30
image,384x384_steps=20,Apple M4 Pro,9.6213,15
image,384x384_steps=20,Mac M2 Ultra,3.6423,30
image,384x384_steps=20,NVIDIA A100,2.7236,30
image,384x384_steps=20,NVIDIA H100,2.5437,30
image,384x384_steps=30,Apple M4 Pro,4.006,15
image,384x384_steps=30,Mac M2 Ultra,2.7747,30
image,384x384_steps=30,NVIDIA A100,2.4729,30
image,384x384_steps=30,NVIDIA H100,3.6889,30
image,384x384_steps=5,Apple M4 Pro,11.6729,15
image,384x384_steps=5,NVIDIA H100,2.5901,30
image,384x384_steps=50,Apple M4 Pro,4.1351,15
image,384x384_steps=50,NVIDIA H100,2.5971,30
image,512x512_steps=10,Apple M4 Pro,10.9852,15
image,512x512_steps=10,NVIDIA H100,23.3585,60
image,512x512_steps=15,Apple M4 Pro,7.8512,15
image,512x512_steps=15,NVIDIA H100,24.7546,60
image,512x512_steps=20,Apple M4 Pro,40.9074,45
image,512x512_steps=20,Mac M2 Ultra,1.2533,30
image,512x512_steps=20,NVIDIA A100,15.0163,60
image,512x512_steps=20,NVIDIA H100,24.8105,60
image,512x512_steps=30,Apple M4 Pro,5.7872,15
image,512x512_steps=30,Mac M2 Ultra,0.9491,30
image,512x512_steps=30,NVIDIA A100,2.6517,30
image,512x512_steps=30,NVIDIA H100,24.9453,60
image,512x512_steps=5,Apple M4 Pro,13.0688,15
image,512x512_steps=5,NVIDIA H100,26.2358,60
image,512x512_steps=50,Apple M4 Pro,3.0715,15
image,512x512_steps=50,NVIDIA H100,2.6754,30
image,640x640_steps=10,NVIDIA H100,18.6313,60
image,640x640_steps=15,NVIDIA H100,19.1039,60
image,640x640_steps=20,Apple M4 Pro,1.2915,30
image,640x640_steps=20,NVIDIA A100,5.1349,30
image,640x640_steps=20,NVIDIA H100,20.2741,60
image,640x640_steps=30,NVIDIA H100,19.7863,60
image,640x640_steps=5,NVIDIA H100,16.2567,60
image,640x640_steps=50,NVIDIA H100,1.5211,30
image,768x768_steps=10,NVIDIA H100,3.5596,30
